ensembl_gene_id	gene_symbol	entrez_id	gene_name	gene_label
ENSG00000000003	TSPAN6	7105	tetraspanin 6	TSPAN6
ENSG00000000419	DPM1	8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	DPM1
ENSG00000000457	SCYL3	57147	SCY1 like pseudokinase 3	SCYL3
ENSG00000000460	FIRRM	55732	FIGNL1 interacting regulator of recombination and mitosis	FIRRM
ENSG00000000938	FGR	2268	FGR proto-oncogene, Src family tyrosine kinase	FGR
ENSG00000000971	CFH	3075	complement factor H	CFH
ENSG00000001036	FUCA2	2519	alpha-L-fucosidase 2	FUCA2
ENSG00000001084	GCLC	2729	glutamate-cysteine ligase catalytic subunit	GCLC
ENSG00000001167	NFYA	4800	nuclear transcription factor Y subunit alpha	NFYA
ENSG00000001460	STPG1	90529	sperm tail PG-rich repeat containing 1	STPG1
ENSG00000001461	NIPAL3	57185	NIPA like domain containing 3	NIPAL3
ENSG00000001497	LAS1L	81887	LAS1 like ribosome biogenesis factor	LAS1L
ENSG00000001561	ENPP4	22875	ectonucleotide pyrophosphatase/phosphodiesterase 4	ENPP4
ENSG00000001629	ANKIB1	54467	ankyrin repeat and IBR domain containing 1	ANKIB1
ENSG00000001630	CYP51A1	1595	cytochrome P450 family 51 subfamily A member 1	CYP51A1
ENSG00000001631	KRIT1	889	KRIT1 ankyrin repeat containing	KRIT1
ENSG00000002016	RAD52	5893	RAD52 homolog, DNA repair protein	RAD52
ENSG00000002330	BAD	572	BCL2 associated agonist of cell death	BAD
ENSG00000002549	LAP3	51056	leucine aminopeptidase 3	LAP3
ENSG00000002586	CD99	4267	CD99 molecule (Xg blood group)	CD99
ENSG00000002587	HS3ST1	9957	heparan sulfate-glucosamine 3-sulfotransferase 1	HS3ST1
ENSG00000002745	WNT16	51384	Wnt family member 16	WNT16
ENSG00000002822	MAD1L1	8379	mitotic arrest deficient 1 like 1	MAD1L1
ENSG00000002834	LASP1	3927	LIM and SH3 protein 1	LASP1
ENSG00000002919	SNX11	29916	sorting nexin 11	SNX11
ENSG00000002933	TMEM176A	55365	transmembrane protein 176A	TMEM176A
ENSG00000003056	M6PR	4074	mannose-6-phosphate receptor, cation dependent	M6PR
ENSG00000003096	KLHL13	90293	kelch like family member 13	KLHL13
ENSG00000003147	ICA1	3382	islet cell autoantigen 1	ICA1
ENSG00000003249	DBNDD1	79007	dysbindin domain containing 1	DBNDD1
ENSG00000003393	ALS2	57679	alsin Rho guanine nucleotide exchange factor ALS2	ALS2
ENSG00000003400	CASP10	843	caspase 10	CASP10
ENSG00000003402	CFLAR	8837	CASP8 and FADD like apoptosis regulator	CFLAR
ENSG00000003436	TFPI	7035	tissue factor pathway inhibitor	TFPI
ENSG00000003509	NDUFAF7	55471	NADH:ubiquinone oxidoreductase complex assembly factor 7	NDUFAF7
ENSG00000003756	RBM5	10181	RNA binding motif protein 5	RBM5
ENSG00000003987	MTMR7	9108	myotubularin related protein 7	MTMR7
ENSG00000004059	ARF5	381	ADP ribosylation factor 5	ARF5
ENSG00000004139	SARM1	23098	sterile alpha and TIR motif containing 1	SARM1
ENSG00000004142	POLDIP2	26073	DNA polymerase delta interacting protein 2	POLDIP2
ENSG00000004399	PLXND1	23129	plexin D1	PLXND1
ENSG00000004455	AK2	204	adenylate kinase 2	AK2
ENSG00000004468	CD38	952	CD38 molecule	CD38
ENSG00000004478	FKBP4	2288	FKBP prolyl isomerase 4	FKBP4
ENSG00000004487	KDM1A	23028	lysine demethylase 1A	KDM1A
ENSG00000004534	RBM6	10180	RNA binding motif protein 6	RBM6
ENSG00000004660	CAMKK1	84254	calcium/calmodulin dependent protein kinase kinase 1	CAMKK1
ENSG00000004700	RECQL	5965	RecQ like helicase	RECQL
ENSG00000004766	VPS50	55610	VPS50 subunit of EARP/GARPII complex	VPS50
ENSG00000004777	ARHGAP33	115703	Rho GTPase activating protein 33	ARHGAP33
ENSG00000004779	NDUFAB1	4706	NADH:ubiquinone oxidoreductase subunit AB1	NDUFAB1
ENSG00000004799	PDK4	5166	pyruvate dehydrogenase kinase 4	PDK4
ENSG00000004809	SLC22A16	85413	solute carrier family 22 member 16	SLC22A16
ENSG00000004838	ZMYND10	51364	zinc finger MYND-type containing 10	ZMYND10
ENSG00000004864	SLC25A13	10165	solute carrier family 25 member 13	SLC25A13
ENSG00000004866	ST7	7982	suppression of tumorigenicity 7	ST7
ENSG00000004897	CDC27	996	cell division cycle 27	CDC27
ENSG00000004961	HCCS	3052	holocytochrome c synthase	HCCS
ENSG00000004975	DVL2	1856	dishevelled segment polarity protein 2	DVL2
ENSG00000005007	UPF1	5976	UPF1 RNA helicase and ATPase	UPF1
ENSG00000005020	SKAP2	8935	src kinase associated phosphoprotein 2	SKAP2
ENSG00000005022	SLC25A5	292	solute carrier family 25 member 5	SLC25A5
ENSG00000005059	MCUB	55013	mitochondrial calcium uniporter dominant negative subunit beta	MCUB
ENSG00000005075	POLR2J	5439	RNA polymerase II subunit J	POLR2J
ENSG00000005100	DHX33	56919	DEAH-box helicase 33	DHX33
ENSG00000005102	MEOX1	4222	mesenchyme homeobox 1	MEOX1
ENSG00000005156	LIG3	3980	DNA ligase 3	LIG3
ENSG00000005175	RPAP3	79657	RNA polymerase II associated protein 3	RPAP3
ENSG00000005187	ACSM3	6296	acyl-CoA synthetase medium chain family member 3	ACSM3
ENSG00000005189	REXO5	81691	RNA exonuclease 5	REXO5
ENSG00000005194	CIAPIN1	57019	cytokine induced apoptosis inhibitor 1	CIAPIN1
ENSG00000005206	SPPL2B	56928	signal peptide peptidase like 2B	SPPL2B
ENSG00000005238	ATOSB	80256	atos homolog B	ATOSB
ENSG00000005243	COPZ2	51226	COPI coat complex subunit zeta 2	COPZ2
ENSG00000005249	PRKAR2B	5577	protein kinase cAMP-dependent type II regulatory subunit beta	PRKAR2B
ENSG00000005302	MSL3	10943	MSL complex subunit 3	MSL3
ENSG00000005339	CREBBP	1387	CREB binding protein	CREBBP
ENSG00000005379	TSPOAP1	9256	TSPO associated protein 1	TSPOAP1
ENSG00000005381	MPO	4353	myeloperoxidase	MPO
ENSG00000005436	GCFC2	6936	GC-rich sequence DNA-binding factor 2	GCFC2
ENSG00000005448	WDR54	84058	WD repeat domain 54	WDR54
ENSG00000005469	CROT	54677	carnitine O-octanoyltransferase	CROT
ENSG00000005471	ABCB4	5244	ATP binding cassette subfamily B member 4	ABCB4
ENSG00000005483	KMT2E	55904	lysine methyltransferase 2E (inactive)	KMT2E
ENSG00000005486	RHBDD2	57414	rhomboid domain containing 2	RHBDD2
ENSG00000005513	SOX8	30812	SRY-box transcription factor 8	SOX8
ENSG00000005700	IBTK	25998	inhibitor of Bruton tyrosine kinase	IBTK
ENSG00000005801	ZNF195	7748	zinc finger protein 195	ZNF195
ENSG00000005810	MYCBP2	23077	MYC binding protein 2	MYCBP2
ENSG00000005812	FBXL3	26224	F-box and leucine rich repeat protein 3	FBXL3
ENSG00000005844	ITGAL	3683	integrin subunit alpha L	ITGAL
ENSG00000005882	PDK2	5164	pyruvate dehydrogenase kinase 2	PDK2
ENSG00000005884	ITGA3	3675	integrin subunit alpha 3	ITGA3
ENSG00000005889	ZFX	7543	zinc finger protein X-linked	ZFX
ENSG00000005893	LAMP2	3920	lysosomal associated membrane protein 2	LAMP2
ENSG00000005961	ITGA2B	3674	integrin subunit alpha 2b	ITGA2B
ENSG00000006007	GDE1	51573	glycerophosphodiester phosphodiesterase 1	GDE1
ENSG00000006015	REX1BD	55049	required for excision 1-B domain containing	REX1BD
ENSG00000006025	OSBPL7	114881	oxysterol binding protein like 7	OSBPL7
ENSG00000006062	MAP3K14	9020	mitogen-activated protein kinase kinase kinase 14	MAP3K14
ENSG00000006125	AP2B1	163	adaptor related protein complex 2 subunit beta 1	AP2B1
ENSG00000006194	ZNF263	10127	zinc finger protein 263	ZNF263
ENSG00000006282	SPATA20	64847	spermatogenesis associated 20	SPATA20
ENSG00000006327	TNFRSF12A	51330	TNF receptor superfamily member 12A	TNFRSF12A
ENSG00000006432	MAP3K9	4293	mitogen-activated protein kinase kinase kinase 9	MAP3K9
ENSG00000006451	RALA	5898	RAS like proto-oncogene A	RALA
ENSG00000006453	BAIAP2L1	55971	BAR/IMD domain containing adaptor protein 2 like 1	BAIAP2L1
ENSG00000006459	KDM7A	80853	lysine demethylase 7A	KDM7A
ENSG00000006530	AGK	55750	acylglycerol kinase	AGK
ENSG00000006534	ALDH3B1	221	aldehyde dehydrogenase 3 family member B1	ALDH3B1
ENSG00000006555	TTC22	55001	tetratricopeptide repeat domain 22	TTC22
ENSG00000006576	PHTF2	57157	putative homeodomain transcription factor 2	PHTF2
ENSG00000006607	FARP2	9855	FERM, ARH/RhoGEF and pleckstrin domain protein 2	FARP2
ENSG00000006625	GGCT	79017	gamma-glutamylcyclotransferase	GGCT
ENSG00000006634	DBF4	10926	DBF4 zinc finger	DBF4
ENSG00000006638	TBXA2R	6915	thromboxane A2 receptor	TBXA2R
ENSG00000006652	IFRD1	3475	interferon related developmental regulator 1	IFRD1
ENSG00000006695	COX10	1352	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	COX10
ENSG00000006712	PAF1	54623	PAF1 homolog, Paf1/RNA polymerase II complex component	PAF1
ENSG00000006715	VPS41	27072	VPS41 subunit of HOPS complex	VPS41
ENSG00000006740	ARHGAP44	9912	Rho GTPase activating protein 44	ARHGAP44
ENSG00000006744	ELAC2	60528	elaC ribonuclease Z 2	ELAC2
ENSG00000006747	SCIN	85477	scinderin	SCIN
ENSG00000006756	ARSD	414	arylsulfatase D	ARSD
ENSG00000006757	PNPLA4	8228	patatin like phospholipase domain containing 4	PNPLA4
ENSG00000006831	ADIPOR2	79602	adiponectin receptor 2	ADIPOR2
ENSG00000006837	CDKL3	51265	cyclin dependent kinase like 3	CDKL3
ENSG00000007038	PRSS21	10942	serine protease 21	PRSS21
ENSG00000007047	MARK4	57787	microtubule affinity regulating kinase 4	MARK4
ENSG00000007080	CCDC124	115098	coiled-coil domain containing 124	CCDC124
ENSG00000007129	CEACAM21	90273	CEA cell adhesion molecule 21	CEACAM21
ENSG00000007168	PAFAH1B1	5048	platelet activating factor acetylhydrolase 1b regulatory subunit 1	PAFAH1B1
ENSG00000007202	BLTP2	9703	bridge-like lipid transfer protein family member 2	BLTP2
ENSG00000007237	GAS7	8522	growth arrest specific 7	GAS7
ENSG00000007255	TRAPPC6A	79090	trafficking protein particle complex subunit 6A	TRAPPC6A
ENSG00000007264	MATK	4145	megakaryocyte-associated tyrosine kinase	MATK
ENSG00000007312	CD79B	974	CD79b molecule	CD79B
ENSG00000007341	ST7L	54879	suppression of tumorigenicity 7 like	ST7L
ENSG00000007350	TKTL1	8277	transketolase like 1	TKTL1
ENSG00000007376	RPUSD1	113000	RNA pseudouridine synthase domain containing 1	RPUSD1
ENSG00000007392	LUC7L	55692	LUC7 like	LUC7L
ENSG00000007402	CACNA2D2	9254	calcium voltage-gated channel auxiliary subunit alpha2delta 2	CACNA2D2
ENSG00000007516	BAIAP3	8938	BAI1 associated protein 3	BAIAP3
ENSG00000007520	TSR3	115939	TSR3 ribosome maturation factor	TSR3
ENSG00000007541	PIGQ	9091	phosphatidylinositol glycan anchor biosynthesis class Q	PIGQ
ENSG00000007545	CRAMP1	57585	cramped chromatin regulator homolog 1	CRAMP1
ENSG00000007923	DNAJC11	55735	DnaJ heat shock protein family (Hsp40) member C11	DNAJC11
ENSG00000007944	MYLIP	29116	myosin regulatory light chain interacting protein	MYLIP
ENSG00000007968	E2F2	1870	E2F transcription factor 2	E2F2
ENSG00000008018	PSMB1	5689	proteasome 20S subunit beta 1	PSMB1
ENSG00000008056	SYN1	6853	synapsin I	SYN1
ENSG00000008083	JARID2	3720	jumonji and AT-rich interaction domain containing 2	JARID2
ENSG00000008086	CDKL5	6792	cyclin dependent kinase like 5	CDKL5
ENSG00000008128	CDK11A	728642	cyclin dependent kinase 11A	CDK11A
ENSG00000008130	NADK	65220	NAD kinase	NADK
ENSG00000008226	DLEC1	9940	DLEC1 cilia and flagella associated protein	DLEC1
ENSG00000008256	CYTH3	9265	cytohesin 3	CYTH3
ENSG00000008277	ADAM22	53616	ADAM metallopeptidase domain 22	ADAM22
ENSG00000008282	SYPL1	6856	synaptophysin like 1	SYPL1
ENSG00000008283	CYB561	1534	cytochrome b561	CYB561
ENSG00000008294	SPAG9	9043	sperm associated antigen 9	SPAG9
ENSG00000008300	CELSR3	1951	cadherin EGF LAG seven-pass G-type receptor 3	CELSR3
ENSG00000008311	AASS	10157	aminoadipate-semialdehyde synthase	AASS
ENSG00000008324	SS18L2	51188	SS18 like 2	SS18L2
ENSG00000008382	MPND	84954	MPN domain containing	MPND
ENSG00000008394	MGST1	4257	microsomal glutathione S-transferase 1	MGST1
ENSG00000008405	CRY1	1407	cryptochrome circadian regulator 1	CRY1
ENSG00000008441	NFIX	4784	nuclear factor I X	NFIX
ENSG00000008513	ST3GAL1	6482	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	ST3GAL1
ENSG00000008516	MMP25	64386	matrix metallopeptidase 25	MMP25
ENSG00000008517	IL32	9235	interleukin 32	IL32
ENSG00000008710	PKD1	5310	polycystin 1, transient receptor potential channel interacting	PKD1
ENSG00000008838	MED24	9862	mediator complex subunit 24	MED24
ENSG00000008853	RHOBTB2	23221	Rho related BTB domain containing 2	RHOBTB2
ENSG00000008869	HEATR5B	54497	HEAT repeat containing 5B	HEATR5B
ENSG00000008952	SEC62	7095	SEC62 homolog, preprotein translocation factor	SEC62
ENSG00000008988	RPS20	6224	ribosomal protein S20	RPS20
ENSG00000009307	CSDE1	7812	cold shock domain containing E1	CSDE1
ENSG00000009335	UBE3C	9690	ubiquitin protein ligase E3C	UBE3C
ENSG00000009413	REV3L	5980	REV3 like, DNA directed polymerase zeta catalytic subunit	REV3L
ENSG00000009694	TENM1	10178	teneurin transmembrane protein 1	TENM1
ENSG00000009780	FAM76A	199870	family with sequence similarity 76 member A	FAM76A
ENSG00000009790	TRAF3IP3	80342	TRAF3 interacting protein 3	TRAF3IP3
ENSG00000009830	POMT2	29954	protein O-mannosyltransferase 2	POMT2
ENSG00000009844	VTA1	51534	vesicle trafficking 1	VTA1
ENSG00000009954	BAZ1B	9031	bromodomain adjacent to zinc finger domain 1B	BAZ1B
ENSG00000010017	RANBP9	10048	RAN binding protein 9	RANBP9
ENSG00000010030	ETV7	51513	ETS variant transcription factor 7	ETV7
ENSG00000010072	SPRTN	83932	SprT-like N-terminal domain	SPRTN
ENSG00000010165	METTL13	51603	methyltransferase 13, eEF1A N-terminus and K55	METTL13
ENSG00000010219	DYRK4	8798	dual specificity tyrosine phosphorylation regulated kinase 4	DYRK4
ENSG00000010244	ZNF207	7756	zinc finger protein 207	ZNF207
ENSG00000010256	UQCRC1	7384	ubiquinol-cytochrome c reductase core protein 1	UQCRC1
ENSG00000010270	STARD3NL	83930	STARD3 N-terminal like	STARD3NL
ENSG00000010278	CD9	928	CD9 molecule	CD9
ENSG00000010292	NCAPD2	9918	non-SMC condensin I complex subunit D2	NCAPD2
ENSG00000010295	IFFO1	25900	intermediate filament family orphan 1	IFFO1
ENSG00000010310	GIPR	2696	gastric inhibitory polypeptide receptor	GIPR
ENSG00000010318	PHF7	51533	PHD finger protein 7	PHF7
ENSG00000010319	SEMA3G	56920	semaphorin 3G	SEMA3G
ENSG00000010322	NISCH	11188	nischarin	NISCH
ENSG00000010327	STAB1	23166	stabilin 1	STAB1
ENSG00000010361	FUZ	80199	fuzzy planar cell polarity protein	FUZ
ENSG00000010404	IDS	3423	iduronate 2-sulfatase	IDS
ENSG00000010539	ZNF200	7752	zinc finger protein 200	ZNF200
ENSG00000010610	CD4	920	CD4 molecule	CD4
ENSG00000010626	LRRC23	10233	leucine rich repeat containing 23	LRRC23
ENSG00000010671	BTK	695	Bruton tyrosine kinase	BTK
ENSG00000010704	HFE	3077	homeostatic iron regulator	HFE
ENSG00000010803	SCMH1	22955	Scm polycomb group protein homolog 1	SCMH1
ENSG00000010810	FYN	2534	FYN proto-oncogene, Src family tyrosine kinase	FYN
ENSG00000010818	HIVEP2	3097	HIVEP zinc finger 2	HIVEP2
ENSG00000011007	ELOA	6924	elongin A	ELOA
ENSG00000011009	LYPLA2	11313	lysophospholipase 2	LYPLA2
ENSG00000011021	CLCN6	1185	chloride voltage-gated channel 6	CLCN6
ENSG00000011028	MRC2	9902	mannose receptor C type 2	MRC2
ENSG00000011105	TSPAN9	10867	tetraspanin 9	TSPAN9
ENSG00000011114	BTBD7	55727	BTB domain containing 7	BTBD7
ENSG00000011132	APBA3	9546	amyloid beta precursor protein binding family A member 3	APBA3
ENSG00000011143	MKS1	54903	MKS transition zone complex subunit 1	MKS1
ENSG00000011198	ABHD5	51099	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	ABHD5
ENSG00000011243	AKAP8L	26993	A-kinase anchoring protein 8 like	AKAP8L
ENSG00000011258	MBTD1	54799	mbt domain containing 1	MBTD1
ENSG00000011260	UTP18	51096	UTP18 small subunit processome component	UTP18
ENSG00000011275	RNF216	54476	ring finger protein 216	RNF216
ENSG00000011295	TTC19	54902	tetratricopeptide repeat domain 19	TTC19
ENSG00000011304	PTBP1	5725	polypyrimidine tract binding protein 1	PTBP1
ENSG00000011376	LARS2	23395	leucyl-tRNA synthetase 2, mitochondrial	LARS2
ENSG00000011405	PIK3C2A	5286	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	PIK3C2A
ENSG00000011422	PLAUR	5329	plasminogen activator, urokinase receptor	PLAUR
ENSG00000011426	ANLN	54443	anillin, actin binding protein	ANLN
ENSG00000011451	WIZ	58525	WIZ zinc finger	WIZ
ENSG00000011454	RABGAP1	23637	RAB GTPase activating protein 1	RABGAP1
ENSG00000011478	QPCTL	54814	glutaminyl-peptide cyclotransferase like	QPCTL
ENSG00000011485	PPP5C	5536	protein phosphatase 5 catalytic subunit	PPP5C
ENSG00000011523	CEP68	23177	centrosomal protein 68	CEP68
ENSG00000011566	MAP4K3	8491	mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3
ENSG00000011590	ZBTB32	27033	zinc finger and BTB domain containing 32	ZBTB32
ENSG00000011600	TYROBP	7305	transmembrane immune signaling adaptor TYROBP	TYROBP
ENSG00000011638	LDAF1	57146	lipid droplet assembly factor 1	LDAF1
ENSG00000012048	BRCA1	672	BRCA1 DNA repair associated	BRCA1
ENSG00000012061	ERCC1	2067	ERCC excision repair 1, endonuclease non-catalytic subunit	ERCC1
ENSG00000012124	CD22	933	CD22 molecule	CD22
ENSG00000012174	MBTPS2	51360	membrane bound transcription factor peptidase, site 2	MBTPS2
ENSG00000012211	PRICKLE3	4007	prickle planar cell polarity protein 3	PRICKLE3
ENSG00000012232	EXTL3	2137	exostosin like glycosyltransferase 3	EXTL3
ENSG00000012660	ELOVL5	60481	ELOVL fatty acid elongase 5	ELOVL5
ENSG00000012779	ALOX5	240	arachidonate 5-lipoxygenase	ALOX5
ENSG00000012822	CALCOCO1	57658	calcium binding and coiled-coil domain 1	CALCOCO1
ENSG00000012963	UBR7	55148	ubiquitin protein ligase E3 component n-recognin 7	UBR7
ENSG00000012983	MAP4K5	11183	mitogen-activated protein kinase kinase kinase kinase 5	MAP4K5
ENSG00000013016	EHD3	30845	EH domain containing 3	EHD3
ENSG00000013275	PSMC4	5704	proteasome 26S subunit, ATPase 4	PSMC4
ENSG00000013288	MAN2B2	23324	mannosidase alpha class 2B member 2	MAN2B2
ENSG00000013306	SLC25A39	51629	solute carrier family 25 member 39	SLC25A39
ENSG00000013364	MVP	9961	major vault protein	MVP
ENSG00000013374	NUB1	51667	negative regulator of ubiquitin like proteins 1	NUB1
ENSG00000013375	PGM3	5238	phosphoglucomutase 3	PGM3
ENSG00000013392	RWDD2A	112611	RWD domain containing 2A	RWDD2A
ENSG00000013441	CLK1	1195	CDC like kinase 1	CLK1
ENSG00000013503	POLR3B	55703	RNA polymerase III subunit B	POLR3B
ENSG00000013523	ANGEL1	23357	angel homolog 1	ANGEL1
ENSG00000013561	RNF14	9604	ring finger protein 14	RNF14
ENSG00000013563	DNASE1L1	1774	deoxyribonuclease 1 like 1	DNASE1L1
ENSG00000013573	DDX11	1663	DEAD/H-box helicase 11	DDX11
ENSG00000013583	HEBP1	50865	heme binding protein 1	HEBP1
ENSG00000013619	MAMLD1	10046	mastermind like domain containing 1	MAMLD1
ENSG00000013725	CD6	923	CD6 molecule	CD6
ENSG00000013810	TACC3	10460	transforming acidic coiled-coil containing protein 3	TACC3
ENSG00000014123	UFL1	23376	UFM1 specific ligase 1	UFL1
ENSG00000014138	POLA2	23649	DNA polymerase alpha 2, accessory subunit	POLA2
ENSG00000014164	ZC3H3	23144	zinc finger CCCH-type containing 3	ZC3H3
ENSG00000014216	CAPN1	823	calpain 1	CAPN1
ENSG00000014257	ACP3	55	acid phosphatase 3	ACP3
ENSG00000014641	MDH1	4190	malate dehydrogenase 1	MDH1
ENSG00000014824	SLC30A9	10463	solute carrier family 30 member 9	SLC30A9
ENSG00000014914	MTMR11	10903	myotubularin related protein 11	MTMR11
ENSG00000014919	COX15	1355	cytochrome c oxidase assembly homolog COX15	COX15
ENSG00000015133	CCDC88C	440193	coiled-coil domain containing 88C	CCDC88C
ENSG00000015153	YAF2	10138	YY1 associated factor 2	YAF2
ENSG00000015171	ZMYND11	10771	zinc finger MYND-type containing 11	ZMYND11
ENSG00000015285	WAS	7454	WASP actin nucleation promoting factor	WAS
ENSG00000015475	BID	637	BH3 interacting domain death agonist	BID
ENSG00000015479	MATR3	9782	matrin 3	MATR3
ENSG00000015532	XYLT2	64132	xylosyltransferase 2	XYLT2
ENSG00000015676	NUDCD3	23386	NudC domain containing 3	NUDCD3
ENSG00000016391	CHDH	55349	choline dehydrogenase	CHDH
ENSG00000016864	GLT8D1	55830	glycosyltransferase 8 domain containing 1	GLT8D1
ENSG00000017260	ATP2C1	27032	ATPase secretory pathway Ca2+ transporting 1	ATP2C1
ENSG00000017483	SLC38A5	92745	solute carrier family 38 member 5	SLC38A5
ENSG00000017797	RALBP1	10928	ralA binding protein 1	RALBP1
ENSG00000018189	RUFY3	22902	RUN and FYVE domain containing 3	RUFY3
ENSG00000018280	SLC11A1	6556	solute carrier family 11 member 1	SLC11A1
ENSG00000018408	WWTR1	25937	WW domain containing transcription regulator 1	WWTR1
ENSG00000018510	AGPS	8540	alkylglycerone phosphate synthase	AGPS
ENSG00000018610	STEEP1	63932	STING1 ER exit protein 1	STEEP1
ENSG00000018699	TTC27	55622	tetratricopeptide repeat domain 27	TTC27
ENSG00000018869	ZNF582	147948	zinc finger protein 582	ZNF582
ENSG00000019102	VSIG2	23584	V-set and immunoglobulin domain containing 2	VSIG2
ENSG00000019144	PHLDB1	23187	pleckstrin homology like domain family B member 1	PHLDB1
ENSG00000019169	MARCO	8685	macrophage receptor with collagenous structure	MARCO
ENSG00000019485	PRDM11	56981	PR/SET domain 11	PRDM11
ENSG00000019582	CD74	972	CD74 molecule	CD74
ENSG00000019991	HGF	3082	hepatocyte growth factor	HGF
ENSG00000019995	ZRANB1	54764	zinc finger RANBP2-type containing 1	ZRANB1
ENSG00000020129	NCDN	23154	neurochondrin	NCDN
ENSG00000020181	ADGRA2	25960	adhesion G protein-coupled receptor A2	ADGRA2
ENSG00000020256	ZFP64	55734	ZFP64 zinc finger protein	ZFP64
ENSG00000020426	MNAT1	4331	MNAT1 component of CDK activating kinase	MNAT1
ENSG00000020577	SAMD4A	23034	sterile alpha motif domain containing 4A	SAMD4A
ENSG00000020633	RUNX3	864	RUNX family transcription factor 3	RUNX3
ENSG00000020922	MRE11	4361	MRE11 homolog, double strand break repair nuclease	MRE11
ENSG00000021300	PLEKHB1	58473	pleckstrin homology domain containing B1	PLEKHB1
ENSG00000021355	SERPINB1	1992	serpin family B member 1	SERPINB1
ENSG00000021574	SPAST	6683	spastin	SPAST
ENSG00000021762	OSBPL5	114879	oxysterol binding protein like 5	OSBPL5
ENSG00000021776	AQR	9716	aquarius intron-binding spliceosomal factor	AQR
ENSG00000022267	FHL1	2273	four and a half LIM domains 1	FHL1
ENSG00000022277	RTF2	51507	replication termination factor 2	RTF2
ENSG00000022556	NLRP2	55655	NLR family pyrin domain containing 2	NLRP2
ENSG00000022567	SLC45A4	57210	solute carrier family 45 member 4	SLC45A4
ENSG00000022840	RNF10	9921	ring finger protein 10	RNF10
ENSG00000022976	ZNF839	55778	zinc finger protein 839	ZNF839
ENSG00000023041	ZDHHC6	64429	zinc finger DHHC-type palmitoyltransferase 6	ZDHHC6
ENSG00000023171	GRAMD1B	57476	GRAM domain containing 1B	GRAMD1B
ENSG00000023191	RNH1	6050	ribonuclease/angiogenin inhibitor 1	RNH1
ENSG00000023228	NDUFS1	4719	NADH:ubiquinone oxidoreductase core subunit S1	NDUFS1
ENSG00000023287	RB1CC1	9821	RB1 inducible coiled-coil 1	RB1CC1
ENSG00000023318	ERP44	23071	endoplasmic reticulum protein 44	ERP44
ENSG00000023330	ALAS1	211	5'-aminolevulinate synthase 1	ALAS1
ENSG00000023445	BIRC3	330	baculoviral IAP repeat containing 3	BIRC3
ENSG00000023516	AKAP11	11215	A-kinase anchoring protein 11	AKAP11
ENSG00000023572	GLRX2	51022	glutaredoxin 2	GLRX2
ENSG00000023608	SNAPC1	6617	small nuclear RNA activating complex polypeptide 1	SNAPC1
ENSG00000023697	DERA	51071	deoxyribose-phosphate aldolase	DERA
ENSG00000023734	STRAP	11171	serine/threonine kinase receptor associated protein	STRAP
ENSG00000023839	ABCC2	1244	ATP binding cassette subfamily C member 2	ABCC2
ENSG00000023892	DEF6	50619	DEF6 guanine nucleotide exchange factor	DEF6
ENSG00000023902	PLEKHO1	51177	pleckstrin homology domain containing O1	PLEKHO1
ENSG00000023909	GCLM	2730	glutamate-cysteine ligase modifier subunit	GCLM
ENSG00000024048	UBR2	23304	ubiquitin protein ligase E3 component n-recognin 2	UBR2
ENSG00000024862	CCDC28A	25901	coiled-coil domain containing 28A	CCDC28A
ENSG00000025039	RRAGD	58528	Ras related GTP binding D	RRAGD
ENSG00000025156	HSF2	3298	heat shock transcription factor 2	HSF2
ENSG00000025293	PHF20	51230	PHD finger protein 20	PHF20
ENSG00000025434	NR1H3	10062	nuclear receptor subfamily 1 group H member 3	NR1H3
ENSG00000025708	TYMP	1890	thymidine phosphorylase	TYMP
ENSG00000025770	NCAPH2	29781	non-SMC condensin II complex subunit H2	NCAPH2
ENSG00000025772	TOMM34	10953	translocase of outer mitochondrial membrane 34	TOMM34
ENSG00000025796	SEC63	11231	SEC63 homolog, protein translocation regulator	SEC63
ENSG00000025800	KPNA6	23633	karyopherin subunit alpha 6	KPNA6
ENSG00000026025	VIM	7431	vimentin	VIM
ENSG00000026036	RTEL1-TNFRSF6B	100533107	RTEL1-TNFRSF6B readthrough (NMD candidate)	RTEL1-TNFRSF6B
ENSG00000026103	FAS	355	Fas cell surface death receptor	FAS
ENSG00000026297	RNASET2	8635	ribonuclease T2	RNASET2
ENSG00000026508	CD44	960	CD44 molecule (Indian blood group)	CD44
ENSG00000026559	KCNG1	3755	potassium voltage-gated channel modifier subfamily G member 1	KCNG1
ENSG00000026652	AGPAT4	56895	1-acylglycerol-3-phosphate O-acyltransferase 4	AGPAT4
ENSG00000026751	SLAMF7	57823	SLAM family member 7	SLAMF7
ENSG00000026950	BTN3A1	11119	butyrophilin subfamily 3 member A1	BTN3A1
ENSG00000027001	MIPEP	4285	mitochondrial intermediate peptidase	MIPEP
ENSG00000027075	PRKCH	5583	protein kinase C eta	PRKCH
ENSG00000027697	IFNGR1	3459	interferon gamma receptor 1	IFNGR1
ENSG00000027847	B4GALT7	11285	beta-1,4-galactosyltransferase 7	B4GALT7
